yourlist:M20191024E5A08BB0B2D1C45B0C7BC3B55FD265564DCC6CI	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]	Topological domain
P16188	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P16189	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P16190	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P18462	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30443	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30447	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30450	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30453	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30455	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30456	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30457	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30459	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
P30512	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
Q09160	HLAA_HUMAN	reviewed	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365	TRANSMEM 309 332 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21263072, ECO:0000269|PubMed:25880248, ECO:0000269|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:8805302}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 308 Extracellular. {ECO:0000255}.; TOPO_DOM 333 365 Cytoplasmic. {ECO:0000255}.
Q15614	O8G2P_HUMAN	reviewed	Putative olfactory receptor 8G2 (Olfactory receptor 8G4) (Olfactory receptor OR11-292) (Olfactory receptor TPCR120)	OR8G2P OR8G2 OR8G4	Homo sapiens (Human)	304	TRANSMEM 42 62 Helical; Name=1. {ECO:0000255}.; TRANSMEM 70 90 Helical; Name=2. {ECO:0000255}.; TRANSMEM 111 130 Helical; Name=3. {ECO:0000255}.; TRANSMEM 155 175 Helical; Name=4. {ECO:0000255}.; TRANSMEM 194 214 Helical; Name=5. {ECO:0000255}.; TRANSMEM 218 238 Helical; Name=6. {ECO:0000255}.; TRANSMEM 258 278 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 41 Extracellular. {ECO:0000305}.; TOPO_DOM 63 69 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 91 110 Extracellular. {ECO:0000305}.; TOPO_DOM 131 154 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 176 193 Extracellular. {ECO:0000305}.; TOPO_DOM 215 217 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 239 257 Extracellular. {ECO:0000305}.; TOPO_DOM 279 304 Cytoplasmic. {ECO:0000305}.
Q15614	OR83P_HUMAN	reviewed	Putative olfactory receptor 8G3 pseudogene (Olfactory receptor OR11-297)	OR8G3P	Homo sapiens (Human)	310	TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	TOPO_DOM 1 25 Extracellular. {ECO:0000255}.; TOPO_DOM 47 54 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 76 99 Extracellular. {ECO:0000255}.; TOPO_DOM 121 139 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 161 197 Extracellular. {ECO:0000255}.; TOPO_DOM 218 237 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 259 271 Extracellular. {ECO:0000255}.; TOPO_DOM 293 310 Cytoplasmic. {ECO:0000255}.
Q5VU13	VSIG8_HUMAN	reviewed	V-set and immunoglobulin domain-containing protein 8	VSIG8 C1orf204	Homo sapiens (Human)	414	TRANSMEM 264 284 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	TOPO_DOM 22 263 Extracellular. {ECO:0000255}.; TOPO_DOM 285 414 Cytoplasmic. {ECO:0000255}.
Q5VU13	SNH28_HUMAN	reviewed	Putative uncharacterized protein SNHG28 (Small nucleolar RNA host gene 2) (VSIG8 overlapping transcript protein) (VSIG8-OT1)	SNHG28 C1orf204	Homo sapiens (Human)	235			
P03989	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P10319	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P18463	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P18464	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P18465	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30460	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30461	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30462	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30464	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30466	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30475	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30479	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30480	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30481	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30483	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30484	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
P30485	HLAB_HUMAN	reviewed	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	TRANSMEM 310 333 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 25 309 Extracellular. {ECO:0000255}.; TOPO_DOM 334 362 Cytoplasmic. {ECO:0000255}.
