# SignalP-5.0	Organism: Eukarya	Timestamp: 20191022231331
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q8N5K1	OTHER	0.000749	0.999251	
Q9BYF1	SP(Sec/SPI)	0.984619	0.015381	CS pos: 19-20. AQS-TI. Pr: 0.3432
Q15822	SP(Sec/SPI)	0.949305	0.050695	CS pos: 26-27. AGG-EE. Pr: 0.8353
Q9H4D0	SP(Sec/SPI)	0.940952	0.059048	CS pos: 22-23. GSG-GG. Pr: 0.2426
O43520	OTHER	0.000565	0.999435	
Q4AC94	OTHER	0.001353	0.998647	
Q14CW9	OTHER	0.001050	0.998950	
Q17RA5	OTHER	0.018090	0.981910	
P0C2W7	OTHER	0.001766	0.998234	
Q96PC3	OTHER	0.002728	0.997272	
P04745	SP(Sec/SPI)	0.996462	0.003538	CS pos: 15-16. CWA-QY. Pr: 0.7904
Q5CZ79	OTHER	0.002977	0.997023	
Q09666	OTHER	0.001141	0.998859	
Q96IK1	OTHER	0.000399	0.999601	
Q96DG6	OTHER	0.000525	0.999475	
Q14CN2	SP(Sec/SPI)	0.985634	0.014366	CS pos: 21-22. SNT-SF. Pr: 0.8060
Q8NCG5	OTHER	0.039949	0.960051	
Q9BRR6	SP(Sec/SPI)	0.537342	0.462658	CS pos: 31-32. GSA-LR. Pr: 0.2014
Q9P003	OTHER	0.021295	0.978705	
Q96NS8	OTHER	0.003776	0.996224	
Q86U37	OTHER	0.003811	0.996189	
P08034	OTHER	0.398167	0.601833	
Q9H0C2	OTHER	0.000956	0.999044	
P01036	SP(Sec/SPI)	0.997597	0.002403	CS pos: 20-21. ALA-SS. Pr: 0.7278
Q9Y6V7	OTHER	0.004669	0.995331	
Q8NEG4	OTHER	0.000322	0.999678	
Q6ZRV2	OTHER	0.001001	0.998999	
P42830	SP(Sec/SPI)	0.996457	0.003543	CS pos: 37-38. ASA-GP. Pr: 0.8009
Q9NVM6	OTHER	0.002014	0.997986	
Q4G0N7	OTHER	0.001951	0.998049	
A0A1B0GUQ0	OTHER	0.005737	0.994263	
Q96IJ6	OTHER	0.002180	0.997820	
Q9BQI3	OTHER	0.004084	0.995916	
H7C350	OTHER	0.004535	0.995465	
Q15517	SP(Sec/SPI)	0.994944	0.005056	CS pos: 32-33. TLA-KS. Pr: 0.9182
O95573	OTHER	0.001013	0.998987	
P20039	SP(Sec/SPI)	0.982948	0.017052	CS pos: 29-30. ALA-GD. Pr: 0.9183
Q9H246	OTHER	0.001194	0.998806	
Q8WXQ8	OTHER	0.385748	0.614252	
Q8IYE0	OTHER	0.000157	0.999843	
Q96PE2	OTHER	0.000567	0.999433	
O95841	SP(Sec/SPI)	0.998662	0.001338	CS pos: 21-22. GHC-RG. Pr: 0.7985
Q8WZB0	OTHER	0.000856	0.999144	
Q96F63	OTHER	0.003231	0.996769	
Q6E213	OTHER	0.001383	0.998617	
P04222	SP(Sec/SPI)	0.988663	0.011337	CS pos: 24-25. TWA-GS. Pr: 0.8002
P16152	OTHER	0.000631	0.999369	
P07311	OTHER	0.000429	0.999571	
Q6L9W6	OTHER	0.014472	0.985528	
Q14CZ0	OTHER	0.000367	0.999633	
Q8NE62	OTHER	0.006487	0.993513	
Q16678	OTHER	0.065114	0.934886	
Q562R1	OTHER	0.001111	0.998889	
P31946	OTHER	0.000383	0.999617	
Q9H6S1	OTHER	0.000366	0.999634	
P0DMU7	OTHER	0.000443	0.999557	
P78410	SP(Sec/SPI)	0.909197	0.090803	CS pos: 29-30. CSA-QF. Pr: 0.7890
A6NH57	OTHER	0.001715	0.998285	
Q8NHU2	OTHER	0.000709	0.999291	
Q5T9A4	OTHER	0.002551	0.997449	
Q99218	SP(Sec/SPI)	0.997923	0.002077	CS pos: 16-17. AFA-MP. Pr: 0.8989
P30484	SP(Sec/SPI)	0.977975	0.022025	CS pos: 24-25. TWA-GS. Pr: 0.8116
P30481	SP(Sec/SPI)	0.991919	0.008081	CS pos: 24-25. TWA-GS. Pr: 0.8428
P07741	OTHER	0.000443	0.999557	
Q9BWP8	SP(Sec/SPI)	0.995878	0.004122	CS pos: 25-26. GHP-QP. Pr: 0.8182
Q9P1Z2	OTHER	0.002127	0.997873	
Q8N8A2	OTHER	0.000801	0.999199	
Q0P5P2	SP(Sec/SPI)	0.984335	0.015665	CS pos: 18-19. VFS-ET. Pr: 0.5115
Q9BUF7	SP(Sec/SPI)	0.831621	0.168379	CS pos: 26-27. AWG-QI. Pr: 0.5726
O95452	OTHER	0.285890	0.714110	
Q15021	OTHER	0.000567	0.999433	
P10589	OTHER	0.002051	0.997949	
Q53ET0	OTHER	0.000856	0.999144	
O43809	OTHER	0.000591	0.999409	
Q7Z5M8	OTHER	0.001032	0.998968	
P58335	SP(Sec/SPI)	0.865691	0.134309	CS pos: 33-34. LRA-QE. Pr: 0.5489
Q15003	OTHER	0.000584	0.999416	
Q6P656	OTHER	0.000177	0.999823	
Q9Y5P2	OTHER	0.004492	0.995508	
Q9NW15	OTHER	0.001064	0.998936	
P24468	OTHER	0.002630	0.997370	
Q8TE58	SP(Sec/SPI)	0.959004	0.040996	CS pos: 17-18. TAG-GS. Pr: 0.3901
Q99798	OTHER	0.001173	0.998827	
Q9BZJ0	OTHER	0.001387	0.998613	
Q6PL45	OTHER	0.244593	0.755407	
P00846	OTHER	0.014236	0.985764	
Q5TEZ5	OTHER	0.000680	0.999320	
O75752	OTHER	0.004962	0.995038	
Q01954	OTHER	0.008036	0.991964	
Q68CJ9	OTHER	0.001952	0.998048	
Q8IXJ9	OTHER	0.000772	0.999228	
Q9BYG0	OTHER	0.025013	0.974987	
Q9UKL4	OTHER	0.010962	0.989038	
P0C5K6	OTHER	0.042462	0.957538	
Q6FI81	OTHER	0.005145	0.994855	
Q8N6U2	OTHER	0.007160	0.992840	
Q8TDC3	OTHER	0.001207	0.998793	
Q5W188	SP(Sec/SPI)	0.672528	0.327472	CS pos: 28-29. TYA-WR. Pr: 0.6338
Q0VDE8	OTHER	0.014163	0.985837	
Q9Y3E7	OTHER	0.000465	0.999535	
Q9BRQ4	OTHER	0.000254	0.999746	
Q400G9	OTHER	0.001547	0.998453	
Q6UX39	SP(Sec/SPI)	0.954473	0.045527	CS pos: 16-17. TRS-LP. Pr: 0.7489
Q9BQ75	OTHER	0.000648	0.999352	
Q8NHS1	SP(Sec/SPI)	0.593990	0.406010	CS pos: 27-28. STA-TN. Pr: 0.4165
Q96M02	OTHER	0.001214	0.998786	
Q9UKI2	OTHER	0.000568	0.999432	
P0CG13	OTHER	0.004617	0.995383	
Q96DZ5	OTHER	0.000904	0.999096	
O14490	OTHER	0.005325	0.994675	
Q13231	SP(Sec/SPI)	0.980159	0.019841	CS pos: 21-22. GSA-AK. Pr: 0.5669
Q9P2D1	OTHER	0.001192	0.998808	
A4FU28	OTHER	0.000404	0.999596	
P21728	OTHER	0.002564	0.997436	
Q8IZP9	OTHER	0.106834	0.893166	
Q6ZRZ4	SP(Sec/SPI)	0.840881	0.159119	CS pos: 26-27. SLS-GR. Pr: 0.3398
P12110	SP(Sec/SPI)	0.995185	0.004815	CS pos: 20-21. IQA-QQ. Pr: 0.8451
P25067	SP(Sec/SPI)	0.971192	0.028808	CS pos: 28-29. ASS-GG. Pr: 0.4936
Q5VUB5	SP(Sec/SPI)	0.909376	0.090624	CS pos: 21-22. AVT-KT. Pr: 0.3494
Q86SQ4	SP(Sec/SPI)	0.923971	0.076029	CS pos: 37-38. VWG-CA. Pr: 0.8497
P0C7V4	OTHER	0.004719	0.995281	
A8MVW0	SP(Sec/SPI)	0.953515	0.046485	CS pos: 27-28. SRA-PG. Pr: 0.2318
O75937	OTHER	0.000741	0.999259	
Q8WXF8	OTHER	0.000780	0.999220	
Q9Y315	OTHER	0.000593	0.999407	
O15360	OTHER	0.000944	0.999056	
O75072	OTHER	0.027910	0.972090	
Q8N128	OTHER	0.000648	0.999352	
Q8N4W6	OTHER	0.016206	0.983794	
Q8N8J7	OTHER	0.000768	0.999232	
Q8N9Y4	OTHER	0.001054	0.998946	
Q9H936	OTHER	0.009796	0.990204	
O95672	OTHER	0.002158	0.997842	
P04899	OTHER	0.001503	0.998497	
Q6IN97	OTHER	0.001270	0.998730	
Q92805	OTHER	0.000707	0.999293	
O15228	OTHER	0.000433	0.999567	
A8MQT2	OTHER	0.000290	0.999710	
P80370	SP(Sec/SPI)	0.999745	0.000255	CS pos: 23-24. TYG-AE. Pr: 0.8932
Q8TBA6	OTHER	0.002185	0.997815	
P54851	SP(Sec/SPI)	0.704452	0.295548	CS pos: 16-17. TSA-AL. Pr: 0.3943
Q4G0N0	OTHER	0.276463	0.723537	
Q96IV6	OTHER	0.000645	0.999355	
Q15329	OTHER	0.001105	0.998895	
Q9BS18	OTHER	0.000394	0.999606	
P0DO97	OTHER	0.002465	0.997535	
Q96DE5	OTHER	0.001118	0.998882	
Q5T5A4	OTHER	0.000468	0.999532	
A8MZ97	OTHER	0.002116	0.997884	
P27348	OTHER	0.000457	0.999543	
Q8N888	OTHER	0.000664	0.999336	
Q8N5B7	OTHER	0.077312	0.922688	
P51636	OTHER	0.000689	0.999311	
Q5H9F3	OTHER	0.004908	0.995092	
O94812	OTHER	0.003677	0.996323	
Q99616	SP(Sec/SPI)	0.999004	0.000996	CS pos: 23-24. GLA-QP. Pr: 0.7417
P13688	SP(Sec/SPI)	0.973301	0.026699	CS pos: 34-35. TTA-QL. Pr: 0.9220
P62952	OTHER	0.012543	0.987457	
Q9H981	OTHER	0.001023	0.998977	
P63261	OTHER	0.000652	0.999348	
Q8NFJ9	OTHER	0.001503	0.998497	
A8MVX0	OTHER	0.000352	0.999648	
Q8ND23	OTHER	0.000703	0.999297	
P00352	OTHER	0.000427	0.999573	
P0DN79	OTHER	0.004321	0.995679	
P13611	SP(Sec/SPI)	0.816817	0.183183	CS pos: 20-21. THA-LH. Pr: 0.7582
Q6UWD8	OTHER	0.007665	0.992335	
Q07075	OTHER	0.036183	0.963817	
Q9Y6E2	OTHER	0.000622	0.999378	
Q8IWZ3	OTHER	0.003461	0.996539	
P05177	OTHER	0.021660	0.978340	
Q13085	OTHER	0.000411	0.999589	
Q7Z5J8	OTHER	0.000961	0.999039	
Q9UG63	OTHER	0.000828	0.999172	
Q2TAA5	OTHER	0.001205	0.998795	
Q9ULH1	OTHER	0.001617	0.998383	
Q9H0R1	OTHER	0.000495	0.999505	
Q8NBQ7	OTHER	0.151145	0.848855	
Q8N7U9	OTHER	0.000428	0.999572	
Q8WWH4	OTHER	0.000792	0.999208	
Q9Y6N8	SP(Sec/SPI)	0.968967	0.031033	CS pos: 22-23. CSP-EI. Pr: 0.6845
Q8NC06	OTHER	0.001457	0.998543	
Q8IVJ8	OTHER	0.001314	0.998686	
P04234	SP(Sec/SPI)	0.969136	0.030864	CS pos: 21-22. VSP-FK. Pr: 0.8784
Q9BPX7	OTHER	0.000455	0.999545	
P13236	SP(Sec/SPI)	0.999626	0.000374	CS pos: 23-24. ALS-AP. Pr: 0.8957
Q02318	OTHER	0.001178	0.998822	
A0PJZ0	OTHER	0.001068	0.998932	
Q8NHQ1	OTHER	0.000778	0.999222	
P09693	SP(Sec/SPI)	0.998300	0.001700	CS pos: 22-23. TLA-QS. Pr: 0.9003
P55290	SP(Sec/SPI)	0.998784	0.001216	CS pos: 22-23. TSA-ED. Pr: 0.9530
Q5QJU3	OTHER	0.001674	0.998326	
P02745	SP(Sec/SPI)	0.986298	0.013702	CS pos: 18-19. SLA-SM. Pr: 0.3055
Q9UNA3	OTHER	0.142538	0.857462	
Q8N8U9	SP(Sec/SPI)	0.703375	0.296625	CS pos: 39-40. SLA-SS. Pr: 0.3931
Q9P299	OTHER	0.002042	0.997958	
P25063	SP(Sec/SPI)	0.989641	0.010359	CS pos: 26-27. IYS-SE. Pr: 0.8965
Q2M3G0	OTHER	0.000385	0.999615	
P54709	OTHER	0.000204	0.999796	
P48751	OTHER	0.000740	0.999260	
Q00597	OTHER	0.000396	0.999604	
Q8NC01	OTHER	0.001059	0.998941	
P51589	OTHER	0.074098	0.925902	
Q16720	OTHER	0.000429	0.999571	
Q6UXB4	OTHER	0.000706	0.999294	
P02656	SP(Sec/SPI)	0.998526	0.001474	CS pos: 20-21. ARA-SE. Pr: 0.7854
Q96B33	SP(Sec/SPI)	0.689740	0.310260	CS pos: 27-28. TLA-PG. Pr: 0.1316
P20594	SP(Sec/SPI)	0.885678	0.114322	CS pos: 16-17. AGG-VR. Pr: 0.2483
Q9NSK7	OTHER	0.001436	0.998564	
P20648	OTHER	0.000659	0.999341	
Q92485	SP(Sec/SPI)	0.999127	0.000873	CS pos: 18-19. ARA-EP. Pr: 0.9693
Q9Y6Q5	OTHER	0.000654	0.999346	
Q9ULM6	OTHER	0.000787	0.999213	
A8MZ36	OTHER	0.000223	0.999777	
Q8N812	OTHER	0.010346	0.989654	
Q2NKJ3	OTHER	0.001393	0.998607	
A9YTQ3	OTHER	0.000628	0.999372	
Q9P2K8	OTHER	0.001762	0.998238	
Q5JTJ3	OTHER	0.015931	0.984069	
Q00610	OTHER	0.000546	0.999454	
P26992	SP(Sec/SPI)	0.938031	0.061969	CS pos: 22-23. VYA-QR. Pr: 0.7616
Q8N9M1	SP(Sec/SPI)	0.801717	0.198283	CS pos: 18-19. AAA-DE. Pr: 0.6778
O14493	OTHER	0.160111	0.839889	
Q96B45	OTHER	0.000691	0.999309	
Q9HB96	OTHER	0.001104	0.998896	
Q13467	SP(Sec/SPI)	0.996969	0.003031	CS pos: 26-27. AAA-AS. Pr: 0.5947
O00399	OTHER	0.001536	0.998464	
Q6NSW5	OTHER	0.003366	0.996634	
P22749	SP(Sec/SPI)	0.987849	0.012151	CS pos: 22-23. VFS-RL. Pr: 0.5987
Q63HN1	OTHER	0.027276	0.972724	
Q14209	OTHER	0.029982	0.970018	
O95715	SP(Sec/SPI)	0.977157	0.022843	CS pos: 34-35. VDG-SK. Pr: 0.9334
O14625	SP(Sec/SPI)	0.997522	0.002478	CS pos: 21-22. VQG-FP. Pr: 0.9842
Q9NYJ7	SP(Sec/SPI)	0.904407	0.095593	CS pos: 26-27. TRP-AG. Pr: 0.5945
A0A1B0GTI1	OTHER	0.001285	0.998715	
Q8WWX0	OTHER	0.002554	0.997446	
Q9UL15	OTHER	0.000292	0.999708	
Q9BT30	OTHER	0.001497	0.998503	
Q6ZNB7	OTHER	0.000967	0.999033	
Q5SR53	OTHER	0.001063	0.998937	
O60218	OTHER	0.000902	0.999098	
Q6UWT4	SP(Sec/SPI)	0.993430	0.006570	CS pos: 23-24. CYA-DD. Pr: 0.9774
O43687	OTHER	0.000786	0.999214	
Q8N7Q2	SP(Sec/SPI)	0.556750	0.443250	CS pos: 23-24. THA-VN. Pr: 0.2023
Q05682	OTHER	0.000849	0.999151	
O95196	SP(Sec/SPI)	0.971811	0.028189	CS pos: 29-30. ASG-AV. Pr: 0.2224
Q5T5M9	OTHER	0.000641	0.999359	
P61221	OTHER	0.000863	0.999137	
Q09160	SP(Sec/SPI)	0.979916	0.020084	CS pos: 24-25. TWA-GS. Pr: 0.8628
Q96KV6	SP(Sec/SPI)	0.995171	0.004829	CS pos: 27-28. VSA-QV. Pr: 0.9062
Q6UWY0	SP(Sec/SPI)	0.970529	0.029471	CS pos: 22-23. GAG-EQ. Pr: 0.3674
Q9UKU7	OTHER	0.003551	0.996449	
Q99622	OTHER	0.001784	0.998216	
Q92858	OTHER	0.001069	0.998931	
P42575	OTHER	0.000538	0.999462	
P38432	OTHER	0.000537	0.999463	
P46952	OTHER	0.000707	0.999293	
Q9ULK2	OTHER	0.002666	0.997334	
P11310	OTHER	0.000160	0.999840	
C9JDV5	OTHER	0.002486	0.997514	
Q9P218	SP(Sec/SPI)	0.823227	0.176773	CS pos: 28-29. VQA-SG. Pr: 0.4838
Q9P1Y5	OTHER	0.001302	0.998698	
Q15327	OTHER	0.000774	0.999226	
P30475	SP(Sec/SPI)	0.987859	0.012141	CS pos: 24-25. TWA-GS. Pr: 0.8587
Q9UBT7	OTHER	0.000891	0.999109	
A6NFT4	OTHER	0.000403	0.999597	
P49419	OTHER	0.018271	0.981729	
P15336	OTHER	0.001049	0.998951	
A6NM10	OTHER	0.194771	0.805229	
P49069	OTHER	0.000320	0.999680	
Q9Y258	SP(Sec/SPI)	0.997395	0.002605	CS pos: 23-24. GTA-TR. Pr: 0.5354
P49748	OTHER	0.000620	0.999380	
Q9BYT9	OTHER	0.000448	0.999552	
Q8NCR0	SP(Sec/SPI)	0.525400	0.474600	CS pos: 16-17. GAA-LH. Pr: 0.2851
Q96DT6	OTHER	0.000496	0.999504	
P55201	OTHER	0.001539	0.998461	
Q99675	OTHER	0.001423	0.998577	
Q9NY97	OTHER	0.180766	0.819234	
O14810	OTHER	0.000426	0.999574	
P56856	SP(Sec/SPI)	0.959228	0.040772	CS pos: 23-24. CIA-AT. Pr: 0.5899
Q8N999	OTHER	0.002004	0.997996	
P09496	OTHER	0.001679	0.998321	
Q9H112	SP(Sec/SPI)	0.720002	0.279998	CS pos: 26-27. YQA-RK. Pr: 0.2378
Q92523	OTHER	0.000833	0.999167	
C9JXX5	OTHER	0.475471	0.524529	
Q8IZ83	OTHER	0.002242	0.997758	
Q8N123	OTHER	0.001927	0.998073	
O60716	OTHER	0.000430	0.999570	
A2A2Z9	OTHER	0.001080	0.998920	
Q86X52	SP(Sec/SPI)	0.604091	0.395909	CS pos: 23-24. VLA-SR. Pr: 0.4245
Q8N129	SP(Sec/SPI)	0.997887	0.002113	CS pos: 21-22. AWA-GM. Pr: 0.9772
Q02246	SP(Sec/SPI)	0.946061	0.053939	CS pos: 26-27. AWS-SA. Pr: 0.3731
Q8N0X4	OTHER	0.018311	0.981689	
Q02928	OTHER	0.004443	0.995557	
P09228	SP(Sec/SPI)	0.995355	0.004645	CS pos: 20-21. ALA-WS. Pr: 0.7205
P32321	OTHER	0.006079	0.993921	
Q8WU58	OTHER	0.003640	0.996360	
Q13474	OTHER	0.004267	0.995733	
P28715	OTHER	0.002501	0.997499	
Q9BXX3	OTHER	0.000350	0.999650	
Q9Y2E4	OTHER	0.001317	0.998683	
Q86UY5	OTHER	0.000803	0.999197	
P14416	OTHER	0.000366	0.999634	
Q86SX6	OTHER	0.003909	0.996091	
Q9NYA3	OTHER	0.001589	0.998411	
Q9UBX5	SP(Sec/SPI)	0.999022	0.000978	CS pos: 25-26. AQA-QC. Pr: 0.5427
O43739	OTHER	0.000200	0.999800	
Q92841	OTHER	0.452035	0.547965	
Q02790	OTHER	0.001290	0.998710	
Q9H0Q0	OTHER	0.000473	0.999527	
P28562	OTHER	0.001733	0.998267	
O60443	OTHER	0.001173	0.998827	
P39059	SP(Sec/SPI)	0.950308	0.049692	CS pos: 27-28. AVT-QT. Pr: 0.2416
Q13705	SP(Sec/SPI)	0.995599	0.004401	CS pos: 18-19. CAG-SG. Pr: 0.2454
Q8N6G1	OTHER	0.003259	0.996741	
P21926	OTHER	0.005398	0.994602	
P22748	SP(Sec/SPI)	0.999118	0.000882	CS pos: 19-20. ASA-ES. Pr: 0.7577
Q9Y232	OTHER	0.000883	0.999117	
Q9HC77	OTHER	0.001182	0.998818	
P23435	SP(Sec/SPI)	0.995386	0.004614	CS pos: 21-22. ARG-QN. Pr: 0.9414
O00154	OTHER	0.005743	0.994257	
P0DMS8	OTHER	0.001108	0.998892	
Q7Z695	OTHER	0.012887	0.987113	
Q8N7W2	OTHER	0.000859	0.999141	
P06731	SP(Sec/SPI)	0.950519	0.049481	CS pos: 34-35. TTA-KL. Pr: 0.8924
Q96B36	OTHER	0.001105	0.998895	
Q15389	SP(Sec/SPI)	0.984229	0.015771	CS pos: 19-20. IGC-SN. Pr: 0.4456
Q9TNN7	SP(Sec/SPI)	0.981429	0.018571	CS pos: 24-25. TWA-CS. Pr: 0.7067
P15848	SP(Sec/SPI)	0.995150	0.004850	CS pos: 38-39. GSG-AG. Pr: 0.3309
Q99715	SP(Sec/SPI)	0.998406	0.001594	CS pos: 23-24. IEA-EV. Pr: 0.9637
Q9Y3Q7	SP(Sec/SPI)	0.733404	0.266596	CS pos: 16-17. LQA-HE. Pr: 0.6783
Q86V21	OTHER	0.001005	0.998995	
Q6UXS9	OTHER	0.000457	0.999543	
P25100	OTHER	0.001588	0.998412	
Q5JWF8	SP(Sec/SPI)	0.613087	0.386913	CS pos: 22-23. VEA-GA. Pr: 0.3511
Q0P5N6	OTHER	0.021427	0.978573	
O60706	OTHER	0.006013	0.993987	
Q96GX8	OTHER	0.008110	0.991890	
O00257	OTHER	0.000750	0.999250	
P30486	SP(Sec/SPI)	0.987859	0.012141	CS pos: 24-25. TWA-GS. Pr: 0.8587
Q29940	SP(Sec/SPI)	0.993087	0.006913	CS pos: 24-25. TWA-GS. Pr: 0.8686
P28222	OTHER	0.004389	0.995611	
P30498	SP(Sec/SPI)	0.984833	0.015167	CS pos: 24-25. TWA-GS. Pr: 0.8315
Q9H553	OTHER	0.000779	0.999221	
Q9NR63	OTHER	0.053607	0.946393	
Q7Z6R9	OTHER	0.002999	0.997001	
P55289	SP(Sec/SPI)	0.920993	0.079007	CS pos: 20-21. GLL-TP. Pr: 0.5751
P28221	OTHER	0.000611	0.999389	
P00403	OTHER	0.000306	0.999694	
Q6V0L0	OTHER	0.067861	0.932139	
Q76N32	OTHER	0.003537	0.996463	
Q9NUZ1	OTHER	0.002220	0.997780	
Q8N4C9	OTHER	0.196589	0.803411	
Q0VDD5	OTHER	0.001888	0.998112	
Q00532	OTHER	0.000400	0.999600	
Q00526	OTHER	0.000291	0.999709	
Q96N11	OTHER	0.000877	0.999123	
Q92772	OTHER	0.000394	0.999606	
Q9NQ32	OTHER	0.009250	0.990750	
Q9P2M7	OTHER	0.000718	0.999282	
Q9C0I3	OTHER	0.000217	0.999783	
Q6UWJ8	SP(Sec/SPI)	0.938164	0.061836	CS pos: 29-30. AVA-GK. Pr: 0.6657
P53420	SP(Sec/SPI)	0.784630	0.215370	CS pos: 38-39. VYG-SG. Pr: 0.6571
Q9H7U1	OTHER	0.001225	0.998775	
Q8IVW4	OTHER	0.000516	0.999484	
Q96D53	OTHER	0.010244	0.989756	
Q5EBM0	OTHER	0.004517	0.995483	
Q9NUG4	OTHER	0.000364	0.999636	
Q92688	OTHER	0.000910	0.999090	
P30043	OTHER	0.036399	0.963601	
P21399	OTHER	0.000446	0.999554	
A5PLL1	OTHER	0.000590	0.999410	
Q9P2X0	SP(Sec/SPI)	0.640522	0.359478	CS pos: 27-28. ALG-LE. Pr: 0.2992
Q6W349	OTHER	0.153826	0.846174	
P59827	SP(Sec/SPI)	0.970444	0.029556	CS pos: 17-18. VCG-TS. Pr: 0.2920
Q8IY42	OTHER	0.000938	0.999062	
P51798	OTHER	0.000271	0.999729	
Q9GZN8	OTHER	0.000934	0.999066	
P05937	OTHER	0.003753	0.996247	
P54646	OTHER	0.000341	0.999659	
P58397	SP(Sec/SPI)	0.629992	0.370008	CS pos: 27-28. CYG-RQ. Pr: 0.3584
Q9H8E8	OTHER	0.000775	0.999225	
Q6VVX0	OTHER	0.136178	0.863822	
P51911	OTHER	0.000722	0.999278	
Q8WVB6	OTHER	0.000323	0.999677	
O95147	OTHER	0.001814	0.998186	
P06746	OTHER	0.000539	0.999461	
Q6PIW4	OTHER	0.003317	0.996683	
Q96PT3	OTHER	0.000985	0.999015	
Q9BXV9	OTHER	0.000912	0.999088	
Q5VYV0	OTHER	0.001653	0.998347	
Q9UBX2	OTHER	0.001952	0.998048	
Q9GZN0	OTHER	0.001887	0.998113	
Q14155	OTHER	0.017519	0.982481	
P55957	OTHER	0.001982	0.998018	
Q8N4S0	OTHER	0.000935	0.999065	
Q14444	OTHER	0.000302	0.999698	
Q7RTU5	OTHER	0.008883	0.991117	
A6NI56	OTHER	0.004827	0.995173	
Q5T8R8	OTHER	0.001411	0.998589	
Q53SF7	OTHER	0.001746	0.998254	
