Q6ZS62	len=124	ExpAA=23.82	First60=1.39	PredHel=1	Topology=o75-97i
P0DKL9	len=152	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q9H4R4	len=102	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
L0R819	len=96	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P35555	len=2871	ExpAA=0.69	First60=0.69	PredHel=0	Topology=o
Q92484	len=453	ExpAA=0.17	First60=0.16	PredHel=0	Topology=o
Q8TCG5	len=803	ExpAA=45.24	First60=7.16	PredHel=2	Topology=o53-75i104-126o
A6NM45	len=220	ExpAA=87.49	First60=20.35	PredHel=4	Topology=i12-31o83-105i118-140o166-188i
Q8N5K1	len=135	ExpAA=20.87	First60=20.75	PredHel=1	Topology=o38-60i
Q9BYF1	len=805	ExpAA=23.24	First60=0.14	PredHel=1	Topology=o741-763i
Q15822	len=529	ExpAA=89.86	First60=0.39	PredHel=4	Topology=o267-289i296-318o328-350i503-525o
Q9H4D0	len=955	ExpAA=24.11	First60=1.54	PredHel=1	Topology=o831-853i
O43520	len=1251	ExpAA=208.43	First60=0.00	PredHel=10	Topology=i119-136o140-157i335-357o386-408i950-969o984-1003i1034-1056o1071-1090i1103-1125o1145-1167i
Q4AC94	len=2353	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Q14CW9	len=347	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q17RA5	len=79	ExpAA=0.21	First60=0.21	PredHel=0	Topology=o
P0C2W7	len=299	ExpAA=8.58	First60=0.00	PredHel=0	Topology=o
Q96PC3	len=154	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P04745	len=511	ExpAA=0.08	First60=0.03	PredHel=0	Topology=o
Q5CZ79	len=823	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q09666	len=5890	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q96IK1	len=185	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
Q96DG6	len=245	ExpAA=0.92	First60=0.00	PredHel=0	Topology=o
Q14CN2	len=919	ExpAA=19.15	First60=0.34	PredHel=1	Topology=o894-916i
Q8NCG5	len=386	ExpAA=19.77	First60=19.67	PredHel=1	Topology=i9-28o
Q9BRR6	len=497	ExpAA=14.13	First60=13.43	PredHel=0	Topology=o
Q9P003	len=139	ExpAA=66.19	First60=29.64	PredHel=3	Topology=i5-27o53-75i118-137o
Q96NS8	len=147	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q86U37	len=167	ExpAA=0.03	First60=0.02	PredHel=0	Topology=o
P08034	len=283	ExpAA=89.08	First60=21.57	PredHel=4	Topology=i23-45o76-95i131-153o192-214i
Q9H0C2	len=315	ExpAA=63.42	First60=0.32	PredHel=2	Topology=i124-146o221-243i
P01036	len=141	ExpAA=1.19	First60=1.19	PredHel=0	Topology=o
Q9Y6V7	len=483	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8NEG4	len=500	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q6ZRV2	len=1179	ExpAA=2.06	First60=0.00	PredHel=0	Topology=o
P42830	len=114	ExpAA=5.75	First60=5.75	PredHel=0	Topology=o
Q9NVM6	len=304	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q4G0N7	len=80	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
A0A1B0GUQ0	len=79	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q96IJ6	len=420	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q9BQI3	len=630	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
H7C350	len=402	ExpAA=16.14	First60=0.00	PredHel=0	Topology=o
Q15517	len=529	ExpAA=16.55	First60=16.55	PredHel=1	Topology=i12-31o
O95573	len=720	ExpAA=24.19	First60=22.73	PredHel=1	Topology=i21-43o
P20039	len=266	ExpAA=40.33	First60=17.72	PredHel=2	Topology=i7-29o228-250i
Q9H246	len=121	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8WXQ8	len=436	ExpAA=12.76	First60=11.98	PredHel=0	Topology=o
Q8IYE0	len=955	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q96PE2	len=2063	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
O95841	len=491	ExpAA=1.27	First60=1.26	PredHel=0	Topology=o
Q8WZB0	len=136	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q96F63	len=343	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6E213	len=333	ExpAA=65.54	First60=38.77	PredHel=3	Topology=i13-35o39-58i127-149o
P04222	len=366	ExpAA=27.88	First60=4.85	PredHel=1	Topology=o309-331i
P16152	len=277	ExpAA=0.16	First60=0.15	PredHel=0	Topology=o
P07311	len=99	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q6L9W6	len=998	ExpAA=21.46	First60=21.45	PredHel=1	Topology=i25-47o
Q14CZ0	len=275	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8NE62	len=594	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
Q16678	len=543	ExpAA=34.97	First60=24.37	PredHel=0	Topology=o
Q562R1	len=376	ExpAA=2.85	First60=0.00	PredHel=0	Topology=o
P31946	len=246	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q9H6S1	len=392	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P0DMU7	len=189	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
P78410	len=334	ExpAA=35.80	First60=12.93	PredHel=1	Topology=o248-270i
A6NH57	len=179	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
Q8NHU2	len=1237	ExpAA=4.23	First60=0.01	PredHel=0	Topology=o
Q5T9A4	len=648	ExpAA=0.18	First60=0.00	PredHel=0	Topology=o
Q99218	len=206	ExpAA=4.04	First60=4.04	PredHel=0	Topology=o
P30484	len=362	ExpAA=32.41	First60=9.57	PredHel=1	Topology=o306-328i
P30481	len=362	ExpAA=34.03	First60=11.13	PredHel=1	Topology=o308-330i
P07741	len=180	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Q9BWP8	len=271	ExpAA=9.70	First60=9.54	PredHel=0	Topology=o
Q9P1Z2	len=691	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8N8A2	len=993	ExpAA=0.08	First60=0.02	PredHel=0	Topology=o
Q0P5P2	len=90	ExpAA=2.54	First60=2.54	PredHel=0	Topology=o
Q9BUF7	len=120	ExpAA=37.77	First60=18.75	PredHel=2	Topology=i5-22o57-79i
O95452	len=261	ExpAA=89.94	First60=21.37	PredHel=4	Topology=i23-45o76-98i132-154o193-215i
Q15021	len=1401	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
P10589	len=423	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Q53ET0	len=693	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
O43809	len=227	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Q7Z5M8	len=362	ExpAA=2.51	First60=0.01	PredHel=0	Topology=o
P58335	len=489	ExpAA=35.28	First60=11.85	PredHel=1	Topology=o319-341i
Q15003	len=741	ExpAA=0.24	First60=0.00	PredHel=0	Topology=o
Q6P656	len=301	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9Y5P2	len=127	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Q9NW15	len=660	ExpAA=177.88	First60=0.00	PredHel=8	Topology=i207-229o244-261i315-337o357-379i400-422o505-527i554-576o591-613i
P24468	len=414	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
Q8TE58	len=950	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q99798	len=780	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q9BZJ0	len=848	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6PL45	len=260	ExpAA=37.08	First60=22.91	PredHel=1	Topology=i30-52o
P00846	len=226	ExpAA=128.18	First60=22.83	PredHel=6	Topology=i5-27o67-89i98-117o132-151i164-186o191-222i
Q5TEZ5	len=329	ExpAA=0.06	First60=0.06	PredHel=0	Topology=o
O75752	len=331	ExpAA=21.61	First60=21.51	PredHel=1	Topology=i21-43o
Q01954	len=994	ExpAA=0.17	First60=0.00	PredHel=0	Topology=o
Q68CJ9	len=461	ExpAA=3.76	First60=0.00	PredHel=0	Topology=o
Q8IXJ9	len=1541	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q9BYG0	len=378	ExpAA=21.68	First60=21.61	PredHel=1	Topology=i13-35o
Q9UKL4	len=321	ExpAA=87.31	First60=22.19	PredHel=4	Topology=i20-42o76-98i198-220o253-275i
P0C5K6	len=33	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6FI81	len=312	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q8N6U2	len=182	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Q8TDC3	len=778	ExpAA=0.86	First60=0.00	PredHel=0	Topology=o
Q5W188	len=147	ExpAA=9.54	First60=9.53	PredHel=0	Topology=o
Q0VDE8	len=80	ExpAA=22.82	First60=22.82	PredHel=1	Topology=i12-34o
Q9Y3E7	len=222	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BRQ4	len=267	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q400G9	len=498	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6UX39	len=209	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q9BQ75	len=279	ExpAA=0.23	First60=0.00	PredHel=0	Topology=o
Q8NHS1	len=167	ExpAA=85.08	First60=23.75	PredHel=4	Topology=i9-31o59-81i94-116o131-150i
Q96M02	len=699	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9UKI2	len=254	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
P0CG13	len=121	ExpAA=0.17	First60=0.16	PredHel=0	Topology=o
Q96DZ5	len=547	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
O14490	len=977	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q13231	len=466	ExpAA=19.23	First60=19.07	PredHel=1	Topology=i5-22o
Q9P2D1	len=2997	ExpAA=2.69	First60=0.00	PredHel=0	Topology=o
A4FU28	len=777	ExpAA=21.76	First60=21.31	PredHel=1	Topology=i38-60o
P21728	len=446	ExpAA=150.28	First60=25.27	PredHel=7	Topology=o29-51i58-80o95-117i139-161o196-218i273-295o315-334i
Q8IZP9	len=1017	ExpAA=173.29	First60=12.57	PredHel=7	Topology=o629-651i664-686o699-721i734-756o788-810i834-856o860-882i
Q6ZRZ4	len=202	ExpAA=3.21	First60=3.21	PredHel=0	Topology=o
P12110	len=1019	ExpAA=0.07	First60=0.04	PredHel=0	Topology=o
P25067	len=703	ExpAA=9.50	First60=7.74	PredHel=0	Topology=o
Q5VUB5	len=890	ExpAA=25.35	First60=0.12	PredHel=1	Topology=i305-327o
Q86SQ4	len=1221	ExpAA=173.37	First60=14.91	PredHel=8	Topology=i20-37o865-887i900-922o928-950i970-992o1026-1048i1069-1091o1095-1117i
P0C7V4	len=464	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
A8MVW0	len=826	ExpAA=43.30	First60=0.27	PredHel=2	Topology=o281-303i316-338o
O75937	len=253	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8WXF8	len=326	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
Q9Y315	len=318	ExpAA=0.14	First60=0.03	PredHel=0	Topology=o
O15360	len=1455	ExpAA=0.75	First60=0.00	PredHel=0	Topology=o
O75072	len=461	ExpAA=20.84	First60=20.79	PredHel=1	Topology=i7-28o
Q8N128	len=213	ExpAA=0.07	First60=0.04	PredHel=0	Topology=o
Q8N4W6	len=341	ExpAA=145.34	First60=38.68	PredHel=7	Topology=o4-26i31-50o81-103i105-124o139-161i186-208o218-240i
Q8N8J7	len=132	ExpAA=28.06	First60=0.00	PredHel=1	Topology=o106-128i
Q8N9Y4	len=354	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9H936	len=323	ExpAA=64.51	First60=18.02	PredHel=1	Topology=i12-31o
O95672	len=775	ExpAA=22.70	First60=1.34	PredHel=1	Topology=i60-82o
P04899	len=355	ExpAA=9.79	First60=0.00	PredHel=0	Topology=o
Q6IN97	len=320	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q92805	len=767	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O15228	len=680	ExpAA=3.06	First60=0.14	PredHel=0	Topology=o
A8MQT2	len=603	ExpAA=0.08	First60=0.00	PredHel=0	Topology=o
P80370	len=383	ExpAA=25.44	First60=2.82	PredHel=1	Topology=o305-327i
Q8TBA6	len=731	ExpAA=22.47	First60=0.00	PredHel=1	Topology=o695-717i
P54851	len=167	ExpAA=89.94	First60=22.78	PredHel=4	Topology=i2-24o61-83i95-117o141-163i
Q4G0N0	len=100	ExpAA=19.40	First60=19.40	PredHel=1	Topology=i7-25o
Q96IV6	len=333	ExpAA=115.02	First60=21.50	PredHel=4	Topology=i28-50o77-99i135-157o167-189i
Q15329	len=346	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BS18	len=74	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
P0DO97	len=292	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q96DE5	len=110	ExpAA=0.08	First60=0.08	PredHel=0	Topology=o
Q5T5A4	len=169	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
A8MZ97	len=194	ExpAA=22.94	First60=22.94	PredHel=1	Topology=o15-37i
P27348	len=245	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Q8N888	len=145	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
Q8N5B7	len=392	ExpAA=115.17	First60=13.95	PredHel=5	Topology=o47-64i147-169o214-233i272-294o309-331i
P51636	len=162	ExpAA=27.38	First60=0.00	PredHel=1	Topology=i92-114o
Q5H9F3	len=1711	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
O94812	len=1187	ExpAA=3.57	First60=3.56	PredHel=0	Topology=o
Q99616	len=98	ExpAA=1.85	First60=1.85	PredHel=0	Topology=o
P13688	len=526	ExpAA=23.29	First60=0.18	PredHel=1	Topology=o433-455i
P62952	len=87	ExpAA=41.26	First60=34.86	PredHel=2	Topology=o20-38i45-67o
Q9H981	len=624	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
P63261	len=375	ExpAA=1.25	First60=0.00	PredHel=0	Topology=o
Q8NFJ9	len=593	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
A8MVX0	len=844	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8ND23	len=1372	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P00352	len=501	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
P0DN79	len=551	ExpAA=0.72	First60=0.00	PredHel=0	Topology=o
P13611	len=3396	ExpAA=0.21	First60=0.21	PredHel=0	Topology=o
Q6UWD8	len=224	ExpAA=22.38	First60=22.38	PredHel=1	Topology=o31-53i
Q07075	len=957	ExpAA=20.64	First60=20.62	PredHel=1	Topology=i21-40o
Q9Y6E2	len=419	ExpAA=3.27	First60=0.00	PredHel=0	Topology=o
Q8IWZ3	len=2542	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
P05177	len=516	ExpAA=21.21	First60=19.76	PredHel=1	Topology=i7-28o
Q13085	len=2346	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q7Z5J8	len=1434	ExpAA=1.56	First60=0.00	PredHel=0	Topology=o
Q9UG63	len=623	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
Q2TAA5	len=492	ExpAA=73.20	First60=23.08	PredHel=2	Topology=o20-42i234-256o
Q9ULH1	len=1129	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9H0R1	len=490	ExpAA=0.09	First60=0.01	PredHel=0	Topology=o
Q8NBQ7	len=271	ExpAA=107.02	First60=32.22	PredHel=5	Topology=o15-34i47-66o76-98i193-215o235-257i
Q8N7U9	len=141	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8WWH4	len=475	ExpAA=14.29	First60=0.00	PredHel=0	Topology=o
Q9Y6N8	len=788	ExpAA=27.36	First60=4.66	PredHel=1	Topology=o612-634i
Q8NC06	len=268	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8IVJ8	len=170	ExpAA=22.01	First60=0.00	PredHel=1	Topology=i147-169o
P04234	len=171	ExpAA=20.52	First60=0.81	PredHel=0	Topology=o
Q9BPX7	len=421	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
P13236	len=92	ExpAA=18.65	First60=18.64	PredHel=1	Topology=i5-27o
Q02318	len=531	ExpAA=0.16	First60=0.00	PredHel=0	Topology=o
A0PJZ0	len=165	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q8NHQ1	len=597	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P09693	len=182	ExpAA=40.17	First60=17.91	PredHel=2	Topology=i7-25o115-137i
P55290	len=713	ExpAA=0.44	First60=0.20	PredHel=0	Topology=o
Q5QJU3	len=275	ExpAA=128.13	First60=22.22	PredHel=5	Topology=o24-46i59-81o96-115i174-193o213-232i
P02745	len=245	ExpAA=1.64	First60=1.58	PredHel=0	Topology=o
Q9UNA3	len=340	ExpAA=17.93	First60=17.76	PredHel=1	Topology=i7-25o
Q8N8U9	len=685	ExpAA=1.83	First60=1.83	PredHel=0	Topology=o
Q9P299	len=210	ExpAA=4.27	First60=0.00	PredHel=0	Topology=o
P25063	len=80	ExpAA=36.81	First60=21.96	PredHel=2	Topology=i5-27o57-79i
Q2M3G0	len=1257	ExpAA=222.73	First60=14.38	PredHel=8	Topology=i47-69o108-130i291-313o691-713i734-756o828-850i917-939o954-976i
P54709	len=279	ExpAA=22.83	First60=22.09	PredHel=1	Topology=i38-60o
P48751	len=1232	ExpAA=242.06	First60=0.00	PredHel=11	Topology=o709-731i743-765o797-819i826-848o893-910i930-947o980-1002i1023-1045o1083-1102i1107-1129o1166-1188i
Q00597	len=558	ExpAA=1.49	First60=0.00	PredHel=0	Topology=o
Q8NC01	len=280	ExpAA=22.85	First60=10.56	PredHel=1	Topology=i50-72o
P51589	len=502	ExpAA=30.72	First60=19.47	PredHel=2	Topology=o10-32i75-97o
Q16720	len=1220	ExpAA=180.29	First60=0.00	PredHel=6	Topology=o375-397i417-439o852-874i928-950o970-987i999-1021o
Q6UXB4	len=293	ExpAA=22.60	First60=22.60	PredHel=1	Topology=i32-54o
P02656	len=99	ExpAA=2.84	First60=2.84	PredHel=0	Topology=o
Q96B33	len=292	ExpAA=91.24	First60=22.56	PredHel=4	Topology=i5-27o77-99i112-134o160-182i
P20594	len=1047	ExpAA=34.72	First60=0.25	PredHel=0	Topology=o
Q9NSK7	len=152	ExpAA=24.04	First60=14.07	PredHel=1	Topology=i42-64o
P20648	len=1035	ExpAA=169.49	First60=0.00	PredHel=8	Topology=i109-131o141-160i306-328o333-355i801-823o923-945i965-986o996-1013i
Q92485	len=455	ExpAA=0.60	First60=0.00	PredHel=0	Topology=o
Q9Y6Q5	len=423	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q9ULM6	len=557	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
A8MZ36	len=301	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8N812	len=135	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q2NKJ3	len=1217	ExpAA=0.51	First60=0.00	PredHel=0	Topology=o
A9YTQ3	len=701	ExpAA=0.44	First60=0.00	PredHel=0	Topology=o
Q9P2K8	len=1649	ExpAA=0.16	First60=0.00	PredHel=0	Topology=o
Q5JTJ3	len=125	ExpAA=0.50	First60=0.50	PredHel=0	Topology=o
Q00610	len=1675	ExpAA=0.09	First60=0.00	PredHel=0	Topology=o
P26992	len=372	ExpAA=13.08	First60=5.56	PredHel=0	Topology=o
Q8N9M1	len=422	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
O14493	len=209	ExpAA=91.53	First60=24.84	PredHel=4	Topology=i12-34o77-99i119-141o161-183i
Q96B45	len=106	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9HB96	len=536	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Q13467	len=585	ExpAA=155.65	First60=0.94	PredHel=6	Topology=i237-259o270-292i313-335o405-427i448-470o500-522i
O00399	len=190	ExpAA=0.83	First60=0.00	PredHel=0	Topology=o
Q6NSW5	len=357	ExpAA=0.05	First60=0.04	PredHel=0	Topology=o
P22749	len=145	ExpAA=10.97	First60=10.97	PredHel=0	Topology=o
Q63HN1	len=556	ExpAA=0.15	First60=0.00	PredHel=0	Topology=o
Q14209	len=437	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O95715	len=111	ExpAA=20.67	First60=20.67	PredHel=1	Topology=o10-32i
O14625	len=94	ExpAA=17.99	First60=17.99	PredHel=1	Topology=o5-22i
Q9NYJ7	len=618	ExpAA=23.50	First60=1.28	PredHel=1	Topology=o491-513i
A0A1B0GTI1	len=187	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8WWX0	len=329	ExpAA=21.95	First60=21.94	PredHel=1	Topology=i21-43o
Q9UL15	len=447	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q9BT30	len=221	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Q6ZNB7	len=445	ExpAA=107.14	First60=12.83	PredHel=2	Topology=o364-383i411-433o
Q5SR53	len=167	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
O60218	len=316	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q6UWT4	len=87	ExpAA=17.84	First60=17.65	PredHel=1	Topology=o4-23i
O43687	len=104	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Q8N7Q2	len=184	ExpAA=0.15	First60=0.03	PredHel=0	Topology=o
Q05682	len=793	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
O95196	len=566	ExpAA=28.32	First60=5.74	PredHel=1	Topology=o421-443i
Q5T5M9	len=372	ExpAA=0.17	First60=0.02	PredHel=0	Topology=o
P61221	len=599	ExpAA=0.10	First60=0.01	PredHel=0	Topology=o
Q09160	len=365	ExpAA=27.63	First60=4.63	PredHel=1	Topology=o308-330i
Q96KV6	len=586	ExpAA=40.65	First60=16.81	PredHel=2	Topology=i13-32o246-268i
Q6UWY0	len=536	ExpAA=18.22	First60=17.68	PredHel=1	Topology=i2-21o
Q9UKU7	len=415	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
Q99622	len=126	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Q92858	len=354	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
P42575	len=452	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
