Accession	TMHMM #TM	TMHMMI	TMHMMO	TMHMMRatio(O/I)	Phobius #TM	PhobiusI	PhobiusO	PhobiusRatio(O/I)	consensus #TM	consensusI	consensusO	consensusRatio(O/I)	inclusive #TM	inclusiveI	inclusiveO	inclusiveRatio(O/I)
Q9Y615	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9UBX8	1	12	347	28.916666666666668	0	0	354	inf	0	0	347	inf	1	12	354	29.5
Q8TD86	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9NYQ6	7	358	2501	6.9860335195530725	7	361	2469	6.839335180055402	7	356	2467	6.929775280898877	7	363	2503	6.895316804407713
P02649	0	0	0	inf	0	0	299	inf	0	0	0	inf	0	0	299	inf
Q6PH81	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96CM8	0	0	0	inf	1	283	279	0.9858657243816255	0	0	0	inf	1	283	279	0.9858657243816255
P84085	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6JBY9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q07973	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q504U0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9P291	1	6	424	70.66666666666667	0	0	0	inf	0	0	0	inf	1	6	424	70.66666666666667
Q8N283	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q92481	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96MT8	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q7L5N1	0	0	0	inf	1	276	9	0.03260869565217391	0	0	0	inf	1	276	9	0.03260869565217391
Q99440	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6UWU4	1	56	268	4.785714285714286	1	54	268	4.962962962962963	1	54	268	4.962962962962963	1	56	268	4.785714285714286
A6NNH2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q13685	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N4F0	1	6	429	71.5	0	0	438	inf	0	0	429	inf	1	6	438	73.0
P54802	0	0	0	inf	0	0	720	inf	0	0	0	inf	0	0	720	inf
O00189	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96SW2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O75718	1	6	377	62.833333333333336	0	0	375	inf	0	0	375	inf	1	6	377	62.833333333333336
P68106	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O75129	2	200	1093	5.465	2	201	1043	5.189054726368159	2	200	1041	5.205	2	201	1095	5.447761194029851
Q8N319	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9UHK6	0	0	0	inf	1	213	148	0.6948356807511737	0	0	0	inf	1	213	148	0.6948356807511737
Q9H8M5	4	38	745	19.605263157894736	4	44	743	16.886363636363637	4	38	741	19.5	4	44	747	16.977272727272727
O15072	0	0	0	inf	0	0	1183	inf	0	0	0	inf	0	0	1183	inf
P98194	8	680	78	0.11470588235294117	10	668	43	0.06437125748502993	8	647	26	0.0401854714064915	10	701	95	0.1355206847360913
Q3C1V1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P0DKL9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9H4R4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
L0R819	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P35555	0	0	0	inf	0	0	2847	inf	0	0	0	inf	0	0	2847	inf
Q92484	0	0	0	inf	0	0	431	inf	0	0	0	inf	0	0	431	inf
Q8TCG5	2	28	729	26.035714285714285	2	726	28	0.03856749311294766	2	0	0	inf	2	754	757	1.0039787798408488
A6NM45	4	55	76	1.3818181818181818	4	59	70	1.1864406779661016	4	54	69	1.2777777777777777	4	60	77	1.2833333333333334
Q8N5K1	1	75	37	0.49333333333333335	1	79	37	0.46835443037974683	1	75	37	0.49333333333333335	1	79	37	0.46835443037974683
Q9BYF1	1	42	740	17.61904761904762	1	40	721	18.025	1	40	721	18.025	1	42	740	17.61904761904762
Q15822	4	158	279	1.7658227848101267	4	156	254	1.6282051282051282	4	155	251	1.6193548387096774	4	159	282	1.7735849056603774
Q9H4D0	1	102	830	8.137254901960784	1	102	805	7.892156862745098	1	102	805	7.892156862745098	1	102	830	8.137254901960784
O43520	10	962	78	0.08108108108108109	10	959	65	0.06777893639207508	10	951	61	0.06414300736067298	10	970	82	0.08453608247422681
Q4AC94	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q14CW9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q17RA5	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P0C2W7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96PC3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P04745	0	0	0	inf	0	0	496	inf	0	0	0	inf	0	0	496	inf
Q5CZ79	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q09666	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96IK1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96DG6	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q14CN2	1	3	893	297.6666666666667	1	4	873	218.25	1	3	872	290.6666666666667	1	4	894	223.5
Q8NCG5	1	8	358	44.75	0	0	353	inf	0	0	353	inf	1	8	358	44.75
Q9BRR6	0	0	0	inf	0	0	464	inf	0	0	0	inf	0	0	464	inf
Q9P003	3	46	27	0.5869565217391305	3	46	28	0.6086956521739131	3	46	26	0.5652173913043478	3	46	29	0.6304347826086957
Q96NS8	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q86U37	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P08034	4	126	68	0.5396825396825397	4	122	68	0.5573770491803278	4	122	62	0.5081967213114754	4	126	74	0.5873015873015873
Q9H0C2	2	195	74	0.37948717948717947	2	192	75	0.390625	2	192	74	0.3854166666666667	2	195	75	0.38461538461538464
P01036	0	0	0	inf	0	0	121	inf	0	0	0	inf	0	0	121	inf
Q9Y6V7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NEG4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6ZRV2	0	0	0	inf	1	231	928	4.017316017316017	0	0	0	inf	1	231	928	4.017316017316017
P42830	0	0	0	inf	0	0	77	inf	0	0	0	inf	0	0	77	inf
Q9NVM6	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q4G0N7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A0A1B0GUQ0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96IJ6	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BQI3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
H7C350	0	0	0	inf	1	339	40	0.11799410029498525	0	0	0	inf	1	339	40	0.11799410029498525
Q15517	1	11	498	45.27272727272727	0	0	497	inf	0	0	497	inf	1	11	498	45.27272727272727
O95573	1	20	677	33.85	1	20	676	33.8	1	20	676	33.8	1	20	677	33.85
P20039	2	22	198	9.0	1	16	198	12.375	1	16	198	12.375	2	22	198	9.0
Q9H246	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8WXQ8	0	0	0	inf	1	398	19	0.04773869346733668	0	0	0	inf	1	398	19	0.04773869346733668
Q8IYE0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96PE2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O95841	0	0	0	inf	0	0	468	inf	0	0	0	inf	0	0	468	inf
Q8WZB0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96F63	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6E213	3	80	187	2.3375	2	284	5	0.017605633802816902	2	77	0	0.0	3	287	192	0.6689895470383276
P04222	1	35	308	8.8	1	35	281	8.028571428571428	1	35	281	8.028571428571428	1	35	308	8.8
P16152	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P07311	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6L9W6	1	24	951	39.625	0	0	951	inf	0	0	951	inf	1	24	951	39.625
Q14CZ0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NE62	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q16678	0	0	0	inf	1	503	19	0.03777335984095427	0	0	0	inf	1	503	19	0.03777335984095427
Q562R1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P31946	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9H6S1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P0DMU7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P78410	1	64	247	3.859375	1	63	218	3.4603174603174605	1	63	218	3.4603174603174605	1	64	247	3.859375
A6NH57	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NHU2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q5T9A4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q99218	0	0	0	inf	0	0	190	inf	0	0	0	inf	0	0	190	inf
P30484	1	34	305	8.970588235294118	1	32	281	8.78125	1	32	281	8.78125	1	34	305	8.970588235294118
P30481	1	32	307	9.59375	1	32	283	8.84375	1	32	283	8.84375	1	32	307	9.59375
P07741	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BWP8	0	0	0	inf	0	0	246	inf	0	0	0	inf	0	0	246	inf
Q9P1Z2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N8A2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q0P5P2	0	0	0	inf	0	0	72	inf	0	0	0	inf	0	0	72	inf
Q9BUF7	2	45	34	0.7555555555555555	1	40	29	0.725	1	40	29	0.725	2	45	34	0.7555555555555555
O95452	4	101	68	0.6732673267326733	4	101	67	0.6633663366336634	4	101	62	0.6138613861386139	4	101	73	0.7227722772277227
Q15021	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P10589	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q53ET0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O43809	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q7Z5M8	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P58335	1	148	318	2.1486486486486487	1	148	285	1.9256756756756757	1	148	285	1.9256756756756757	1	148	318	2.1486486486486487
Q15003	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6P656	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9Y5P2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9NW15	8	352	129	0.3664772727272727	8	373	101	0.2707774798927614	8	325	48	0.1476923076923077	8	400	182	0.455
P24468	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8TE58	0	0	0	inf	0	0	932	inf	0	0	0	inf	0	0	932	inf
Q99798	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BZJ0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6PL45	1	29	208	7.172413793103448	2	183	30	0.16393442622950818	1	0	2	inf	2	212	236	1.1132075471698113
P00846	6	28	57	2.0357142857142856	6	60	25	0.4166666666666667	6	0	0	inf	6	88	82	0.9318181818181818
Q5TEZ5	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O75752	1	20	288	14.4	1	19	293	15.421052631578947	1	19	288	15.157894736842104	1	20	293	14.65
Q01954	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q68CJ9	0	0	0	inf	1	125	317	2.536	0	0	0	inf	1	125	317	2.536
Q8IXJ9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BYG0	1	12	343	28.583333333333332	1	11	346	31.454545454545453	1	11	343	31.181818181818183	1	12	346	28.833333333333332
Q9UKL4	4	164	65	0.39634146341463417	4	170	65	0.38235294117647056	4	164	63	0.38414634146341464	4	170	67	0.3941176470588235
P0C5K6	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6FI81	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N6U2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8TDC3	0	0	0	inf	1	211	547	2.5924170616113744	0	0	0	inf	1	211	547	2.5924170616113744
Q5W188	0	0	0	inf	0	0	119	inf	0	0	0	inf	0	0	119	inf
Q0VDE8	1	11	46	4.181818181818182	1	45	11	0.24444444444444444	1	0	0	inf	1	56	57	1.0178571428571428
Q9Y3E7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BRQ4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q400G9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6UX39	0	0	0	inf	0	0	193	inf	0	0	0	inf	0	0	193	inf
Q9BQ75	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NHS1	4	37	41	1.1081081081081081	4	39	37	0.9487179487179487	4	35	37	1.0571428571428572	4	41	41	1.0
Q96M02	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9UKI2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P0CG13	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96DZ5	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O14490	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q13231	1	4	444	111.0	0	0	444	inf	0	0	444	inf	1	4	444	111.0
Q9P2D1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A4FU28	1	37	717	19.37837837837838	1	717	36	0.0502092050209205	1	0	0	inf	1	754	753	0.9986737400530504
P21728	7	193	95	0.49222797927461137	6	83	226	2.7228915662650603	6	76	84	1.105263157894737	7	200	237	1.185
Q8IZP9	7	182	674	3.7032967032967035	8	197	629	3.1928934010152283	7	175	626	3.577142857142857	8	204	677	3.3186274509803924
Q6ZRZ4	0	0	0	inf	0	0	168	inf	0	0	0	inf	0	0	168	inf
P12110	0	0	0	inf	0	0	999	inf	0	0	0	inf	0	0	999	inf
P25067	0	0	0	inf	0	0	666	inf	0	0	0	inf	0	0	666	inf
Q5VUB5	1	304	563	1.8519736842105263	1	563	285	0.5062166962699822	1	0	0	inf	1	867	848	0.9780853517877739
Q86SQ4	8	174	868	4.988505747126437	7	155	865	5.580645161290323	7	152	861	5.6644736842105265	8	177	872	4.926553672316384
P0C7V4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A8MVW0	2	12	768	64.0	2	11	746	67.81818181818181	2	11	741	67.36363636363636	2	12	773	64.41666666666667
O75937	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8WXF8	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9Y315	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O15360	0	0	0	inf	2	70	1346	19.228571428571428	0	0	0	inf	2	70	1346	19.228571428571428
O75072	1	6	433	72.16666666666667	0	0	442	inf	0	0	433	inf	1	6	442	73.66666666666667
Q8N128	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N4W6	7	130	56	0.4307692307692308	7	133	71	0.5338345864661654	7	126	54	0.42857142857142855	7	137	73	0.5328467153284672
Q8N8J7	1	4	105	26.25	1	99	2	0.020202020202020204	1	0	0	inf	1	103	107	1.0388349514563107
Q8N9Y4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9H936	1	11	292	26.545454545454547	4	200	42	0.21	1	0	31	inf	4	211	303	1.4360189573459716
O95672	1	59	693	11.745762711864407	1	59	693	11.745762711864407	1	59	693	11.745762711864407	1	59	693	11.745762711864407
P04899	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q6IN97	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q92805	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O15228	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A8MQT2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P80370	1	56	304	5.428571428571429	1	55	283	5.1454545454545455	1	55	281	5.109090909090909	1	56	306	5.464285714285714
Q8TBA6	1	14	694	49.57142857142857	1	695	12	0.017266187050359712	1	0	0	inf	1	709	706	0.995768688293371
P54851	4	16	59	3.6875	3	15	70	4.666666666666667	3	15	59	3.933333333333333	4	16	70	4.375
Q4G0N0	1	6	75	12.5	1	6	75	12.5	1	6	75	12.5	1	6	75	12.5
Q96IV6	4	206	35	0.16990291262135923	6	146	56	0.3835616438356164	4	145	34	0.23448275862068965	6	207	57	0.2753623188405797
Q15329	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9BS18	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P0DO97	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q96DE5	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q5T5A4	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A8MZ97	1	157	14	0.08917197452229299	1	157	11	0.07006369426751592	1	157	11	0.07006369426751592	1	157	14	0.08917197452229299
P27348	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N888	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N5B7	5	181	104	0.574585635359116	7	156	88	0.5641025641025641	5	149	77	0.5167785234899329	7	188	115	0.6117021276595744
P51636	1	91	48	0.5274725274725275	1	86	48	0.5581395348837209	1	86	48	0.5581395348837209	1	91	48	0.5274725274725275
Q5H9F3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
O94812	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q99616	0	0	0	inf	0	0	75	inf	0	0	0	inf	0	0	75	inf
P13688	1	71	432	6.084507042253521	1	72	394	5.472222222222222	1	71	394	5.549295774647887	1	72	432	6.0
P62952	2	6	39	6.5	2	6	37	6.166666666666667	2	6	37	6.166666666666667	2	6	39	6.5
Q9H981	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P63261	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NFJ9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A8MVX0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8ND23	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P00352	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P0DN79	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P13611	0	0	0	inf	0	0	3376	inf	0	0	0	inf	0	0	3376	inf
Q6UWD8	1	171	30	0.17543859649122806	1	171	31	0.18128654970760233	1	171	30	0.17543859649122806	1	171	31	0.18128654970760233
Q07075	1	20	917	45.85	1	19	918	48.31578947368421	1	19	917	48.26315789473684	1	20	918	45.9
Q9Y6E2	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8IWZ3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P05177	1	6	488	81.33333333333333	2	429	45	0.1048951048951049	1	0	40	inf	2	435	493	1.1333333333333333
Q13085	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q7Z5J8	0	0	0	inf	1	311	1105	3.553054662379421	0	0	0	inf	1	311	1105	3.553054662379421
Q9UG63	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q2TAA5	2	191	255	1.3350785340314135	2	192	255	1.328125	2	191	255	1.3350785340314135	2	192	255	1.328125
Q9ULH1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9H0R1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NBQ7	5	120	42	0.35	7	52	64	1.2307692307692308	5	47	42	0.8936170212765957	7	125	64	0.512
Q8N7U9	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8WWH4	0	0	0	inf	1	3	453	151.0	0	0	0	inf	1	3	453	151.0
Q9Y6N8	1	154	611	3.9675324675324677	1	154	580	3.7662337662337664	1	154	580	3.7662337662337664	1	154	611	3.9675324675324677
Q8NC06	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8IVJ8	1	146	1	0.00684931506849315	1	146	1	0.00684931506849315	1	146	1	0.00684931506849315	1	146	1	0.00684931506849315
P04234	0	0	0	inf	0	0	150	inf	0	0	0	inf	0	0	150	inf
Q9BPX7	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P13236	1	4	65	16.25	0	0	69	inf	0	0	65	inf	1	4	69	17.25
Q02318	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A0PJZ0	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NHQ1	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P09693	2	51	89	1.7450980392156863	1	45	89	1.9777777777777779	1	45	86	1.9111111111111112	2	51	92	1.803921568627451
P55290	0	0	0	inf	0	0	691	inf	0	0	0	inf	0	0	691	inf
Q5QJU3	5	113	56	0.49557522123893805	7	71	67	0.9436619718309859	5	63	53	0.8412698412698413	7	121	70	0.5785123966942148
P02745	0	0	0	inf	0	0	227	inf	0	0	0	inf	0	0	227	inf
Q9UNA3	1	6	315	52.5	0	0	318	inf	0	0	315	inf	1	6	318	53.0
Q8N8U9	0	0	0	inf	0	0	646	inf	0	0	0	inf	0	0	646	inf
Q9P299	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P25063	2	5	29	5.8	0	0	54	inf	0	0	29	inf	2	5	54	10.8
Q2M3G0	8	573	500	0.8726003490401396	12	891	97	0.10886644219977554	8	490	58	0.11836734693877551	12	974	539	0.553388090349076
P54709	1	37	219	5.918918918918919	1	37	217	5.864864864864865	1	37	217	5.864864864864865	1	37	219	5.918918918918919
P48751	11	104	888	8.538461538461538	12	68	898	13.205882352941176	11	60	858	14.3	12	112	928	8.285714285714286
Q00597	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8NC01	1	49	208	4.244897959183674	1	49	204	4.163265306122449	1	49	204	4.163265306122449	1	49	208	4.244897959183674
P51589	2	42	414	9.857142857142858	0	0	471	inf	0	0	405	inf	2	42	480	11.428571428571429
Q16720	6	83	1004	12.096385542168674	8	972	74	0.07613168724279835	6	63	54	0.8571428571428571	8	992	1024	1.032258064516129
Q6UXB4	1	31	239	7.709677419354839	1	240	31	0.12916666666666668	1	0	0	inf	1	271	270	0.996309963099631
P02656	0	0	0	inf	0	0	79	inf	0	0	0	inf	0	0	79	inf
Q96B33	4	126	74	0.5873015873015873	3	119	67	0.5630252100840336	3	119	66	0.5546218487394958	4	126	75	0.5952380952380952
P20594	0	0	0	inf	1	569	441	0.7750439367311072	0	0	0	inf	1	569	441	0.7750439367311072
Q9NSK7	1	41	88	2.1463414634146343	0	0	0	inf	0	0	0	inf	1	41	88	2.1463414634146343
P20648	8	739	121	0.16373477672530445	8	733	129	0.17598908594815826	8	732	121	0.16530054644808742	8	740	129	0.17432432432432432
Q92485	0	0	0	inf	0	0	437	inf	0	0	0	inf	0	0	437	inf
Q9Y6Q5	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9ULM6	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
A8MZ36	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q8N812	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q2NKJ3	0	0	0	inf	1	603	590	0.978441127694859	0	0	0	inf	1	603	590	0.978441127694859
A9YTQ3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q9P2K8	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q5JTJ3	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
Q00610	0	0	0	inf	0	0	0	inf	0	0	0	inf	0	0	0	inf
P26992	0	0	0	inf	1	1	327	327.0	0	0	0	inf	1	1	327	327.0
Q8N9M1	0	0	0	inf	0	0	404	inf	0	0	0	inf	0	0	404	inf
